Date,Block,Primary Type,Location Description,District
09/17/2019 11:50:00 PM,S MARSHFIELD AVE,BATTERY,RESIDENCE,Gresham District
09/17/2019 11:34:00 PM,N TRUMBULL AVE,BATTERY,RESIDENCE,Harrison District
09/17/2019 11:30:00 PM,S WHIPPLE ST,BATTERY,SIDEWALK,Harrison District
09/17/2019 11:00:00 PM,S FOREST AVE,MOTOR VEHICLE THEFT,STREET,Calumet District
09/17/2019 11:00:00 PM,S PAULINA ST,MOTOR VEHICLE THEFT,STREET,Englewood District
09/17/2019 10:58:00 PM,S PULASKI RD,BATTERY,STREET,Harrison District
09/17/2019 10:35:00 PM,N MENARD AVE,THEFT,VACANT LOT/LAND,Austin District
09/17/2019 10:21:00 PM,W 63RD ST,BATTERY,APARTMENT,Chicago Lawn District
09/17/2019 10:15:00 PM,N VINE ST,CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),Near North District
09/17/2019 10:05:00 PM,W DEMING PL,BATTERY,RESIDENTIAL YARD (FRONT/BACK),Grand Central District
09/17/2019 10:00:00 PM,W HURON ST,THEFT,RESIDENCE-GARAGE,Near West District
09/17/2019 10:00:00 PM,S WESTERN AVE,THEFT,CTA BUS STOP,Ogden District
09/17/2019 09:49:00 PM,S LOWE AVE,ASSAULT,RESIDENCE,Englewood District
09/17/2019 09:39:00 PM,S WABASH AVE,WEAPONS VIOLATION,STREET,Wentworth District
09/17/2019 09:30:00 PM,W 95TH ST,THEFT,CTA STATION,Gresham District
09/17/2019 09:30:00 PM,S WABASH AVE,BATTERY,STREET,Wentworth District
09/17/2019 09:12:00 PM,W JACKSON BLVD,CRIMINAL TRESPASS,OTHER RAILROAD PROP / TRAIN DEPOT,Harrison District
09/17/2019 09:00:00 PM,W MC LEAN AVE,BURGLARY,RESIDENCE PORCH/HALLWAY,Shakespeare District
09/17/2019 08:53:00 PM,E SUPERIOR ST,BURGLARY,HOTEL/MOTEL,Near North District
09/17/2019 08:45:00 PM,W 59TH ST,OTHER OFFENSE,STREET,Englewood District
09/17/2019 08:35:00 PM,N RICHMOND ST,THEFT,RESIDENCE PORCH/HALLWAY,Shakespeare District
09/17/2019 08:30:00 PM,S PULASKI RD,BATTERY,CTA BUS,Ogden District
09/17/2019 08:23:00 PM,W GARFIELD BLVD,NARCOTICS,STREET,Deering District
09/17/2019 08:10:00 PM,S MORGAN ST,CRIMINAL DAMAGE,STREET,Gresham District
09/17/2019 08:05:00 PM,N MILWAUKEE AVE,THEFT,CTA TRAIN,Near West District
09/17/2019 08:00:00 PM,N CLEVELAND AVE,THEFT,RESIDENCE,Near North District
09/17/2019 07:54:00 PM,E 95TH ST,BATTERY,PARK PROPERTY,Calumet District
09/17/2019 07:50:00 PM,S MERRILL AVE,ASSAULT,APARTMENT,Grand Crossing District
09/17/2019 07:45:00 PM,W CUYLER AVE,BATTERY,RESIDENCE,Jefferson Park District
09/17/2019 07:33:00 PM,S PARNELL AVE,ASSAULT,RESIDENCE PORCH/HALLWAY,Calumet District
09/17/2019 07:24:00 PM,S WALLACE ST,ASSAULT,STREET,Deering District
09/17/2019 07:00:00 PM,E 107TH ST,MOTOR VEHICLE THEFT,STREET,Calumet District
09/17/2019 06:50:00 PM,S RACINE AVE,CRIMINAL DAMAGE,STREET,Gresham District
09/17/2019 06:41:00 PM,S PULASKI RD,WEAPONS VIOLATION,STREET,Chicago Lawn District
09/17/2019 06:30:00 PM,E 38TH ST,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,Wentworth District
09/17/2019 06:20:00 PM,W ROSCOE ST,BATTERY,RESIDENCE,Jefferson Park District
09/17/2019 06:12:00 PM,W WASHINGTON ST,DECEPTIVE PRACTICE,CONVENIENCE STORE,Central District
09/17/2019 06:00:00 PM,S FEDERAL ST,DECEPTIVE PRACTICE,APARTMENT,Central District
09/17/2019 06:00:00 PM,W ADDISON ST,THEFT,CTA STATION,Town Hall District
09/17/2019 05:55:00 PM,S CALUMET AVE,BURGLARY,APARTMENT,Grand Crossing District
09/17/2019 05:37:00 PM,S DEARBORN ST,DECEPTIVE PRACTICE,CTA STATION,Central District
09/17/2019 05:31:00 PM,S STATE ST,THEFT,COMMERCIAL / BUSINESS OFFICE,Central District
09/17/2019 05:30:00 PM,S BISHOP ST,CRIMINAL TRESPASS,ABANDONED BUILDING,Englewood District
09/17/2019 05:20:00 PM,S MAY ST,WEAPONS VIOLATION,SIDEWALK,Gresham District
09/17/2019 05:14:00 PM,S WESTERN AVE,BATTERY,RESTAURANT,Chicago Lawn District
09/17/2019 05:00:00 PM,W 55TH PL,CRIMINAL DAMAGE,RESIDENCE-GARAGE,Chicago Lawn District
09/17/2019 05:00:00 PM,W DIVISION ST,OTHER OFFENSE,SIDEWALK,Near North District
09/17/2019 05:00:00 PM,S PEORIA ST,THEFT,APARTMENT,Englewood District
09/17/2019 04:50:00 PM,N MOODY AVE,BURGLARY,RESIDENCE,Grand Central District
09/17/2019 04:35:00 PM,S LAVERGNE AVE,BATTERY,"SCHOOL, PUBLIC, BUILDING",Austin District
09/17/2019 04:29:00 PM,W CERMAK RD,THEFT,GROCERY FOOD STORE,Ogden District
09/17/2019 04:18:00 PM,S EXCHANGE AVE,OTHER OFFENSE,STREET,South Chicago District
09/17/2019 04:09:00 PM,N WOLCOTT AVE,ROBBERY,SIDEWALK,Shakespeare District
