ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11833322,JC437937,09/17/2019 11:55:00 PM,086XX S BISHOP ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,614,6,21,71,08A,1168173,1847470,2019,09/24/2019 04:33:44 PM,41.73698894,-87.65944964,"(41.736988942, -87.659449641)",18,"21,554",70,531,13,59,20,237
11832176,JC437952,09/17/2019 11:53:00 PM,025XX S KEDZIE AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,FALSE,FALSE,1033,10,12,30,24,1155435,1886859,2019,09/24/2019 04:33:44 PM,41.84534223,-87.70506357,"(41.84534223, -87.70506357)",29,"21,569",32,261,1,57,21,160
11832377,JC438050,09/17/2019 11:50:00 PM,062XX S INDIANA AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,311,3,20,40,6,1178638,1863780,2019,09/24/2019 04:33:44 PM,41.78151414,-87.62061417,"(41.781514139, -87.620614173)",53,"22,260",7,404,4,60,18,251
11832223,JC437924,09/17/2019 11:50:00 PM,082XX S MARSHFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,614,6,21,71,08B,1166776,1850039,2019,09/24/2019 04:33:44 PM,41.74406856,-87.66449468,"(41.744068555, -87.664494683)",6,"21,554",70,532,13,59,20,237
11835479,JC441387,09/17/2019 11:45:00 PM,077XX W HORTENSE AVE,810,THEFT,OVER $500,OTHER,FALSE,FALSE,1612,16,41,10,6,,,2019,09/24/2019 04:33:44 PM,,,,,,,,,,,
11832169,JC437922,09/17/2019 11:42:00 PM,009XX W ADDISON ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1924,19,44,6,08B,1169144,1924100,2019,09/24/2019 04:33:44 PM,41.94724773,-87.65367048,"(41.947247732, -87.65367048)",38,"4,449",57,211,25,22,5,28
11832226,JC437959,09/17/2019 11:40:00 PM,039XX N CENTRAL AVE,454,BATTERY,AGG PO HANDS NO/MIN INJURY,RESIDENCE,FALSE,FALSE,1633,16,38,15,08B,1138306,1925816,2019,09/24/2019 04:33:44 PM,41.95257167,-87.76698215,"(41.952571673, -87.766982153)",25,"22,618",15,311,19,52,12,27
11832168,JC437913,09/17/2019 11:37:00 PM,066XX S ABERDEEN ST,560,ASSAULT,SIMPLE,RESIDENCE,TRUE,TRUE,724,7,6,68,08A,1170126,1860747,2019,09/24/2019 04:33:44 PM,41.77338059,-87.65190916,"(41.773380587, -87.651909162)",17,"21,559",66,436,32,11,17,203
11832232,JC437932,09/17/2019 11:35:00 PM,088XX S BISHOP ST,460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,2222,22,21,71,08B,1168210,1846193,2019,09/24/2019 04:33:44 PM,41.73348387,-87.65935072,"(41.733483874, -87.659350722)",18,"21,554",70,533,13,59,9,244
11832242,JC437942,09/17/2019 11:34:00 PM,007XX N TRUMBULL AVE,454,BATTERY,AGG PO HANDS NO/MIN INJURY,RESIDENCE,FALSE,FALSE,1121,11,27,23,08B,1153248,1904667,2019,09/24/2019 04:33:44 PM,41.89425296,-87.71261709,"(41.894252955, -87.712617093)",41,"21,572",24,584,46,30,16,65
11832301,JC437929,09/17/2019 11:31:00 PM,042XX W CARROLL AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,TRUE,FALSE,1114,11,28,26,04B,1148133,1901962,2019,09/24/2019 04:33:44 PM,41.88693015,-87.73147275,"(41.886930148, -87.73147275)",11,"21,572",27,619,23,30,16,83
11832142,JC437919,09/17/2019 11:31:00 PM,029XX W 73RD ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,OTHER,FALSE,FALSE,831,8,18,66,15,1158067,1856084,2019,09/24/2019 04:33:44 PM,41.76083831,-87.69624152,"(41.760838308, -87.696241521)",6,"21,867",64,349,30,58,13,208
11834234,JC440228,09/17/2019 11:30:00 PM,012XX W ARGYLE ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,2033,20,47,3,6,,,2019,09/24/2019 04:33:44 PM,,,,,,,,,,,
11832482,JC438174,09/17/2019 11:30:00 PM,036XX W FRANKLIN BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1122,11,27,23,08B,1152202,1903092,2019,09/24/2019 04:33:44 PM,41.8899517,-87.71650034,"(41.889951698, -87.716500337)",41,"21,572",24,584,46,30,16,82
11832673,JC438254,09/17/2019 11:30:00 PM,009XX N WESTERN AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1212,12,1,24,6,1160228,1906504,2019,09/24/2019 04:33:44 PM,41.89915241,-87.68693082,"(41.899152407, -87.68693082)",24,"21,560",25,542,49,4,15,63
11832195,JC437909,09/17/2019 11:30:00 PM,003XX S WHIPPLE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1124,11,28,27,08B,1156099,1898324,2019,09/24/2019 04:33:44 PM,41.87679008,-87.70231751,"(41.876790076, -87.702317506)",11,"21,184",28,737,23,28,16,123
11832172,JC437890,09/17/2019 11:10:00 PM,050XX W JACKSON BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1533,15,28,25,14,1142924,1898203,2019,09/24/2019 04:33:44 PM,41.87671365,-87.75069556,"(41.876713651, -87.750695557)",11,"22,216",26,184,23,32,25,137
11832135,JC437885,09/17/2019 11:06:00 PM,035XX N CLARK ST,460,BATTERY,SIMPLE,SIDEWALK,TRUE,FALSE,1924,19,44,6,08B,1168657,1923609,2019,09/24/2019 04:33:44 PM,41.94591099,-87.65547482,"(41.945910991, -87.655474824)",38,"4,449",57,211,25,22,5,28
11832159,JC437893,09/17/2019 11:05:00 PM,070XX S STEWART AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,732,7,6,68,08A,1174840,1858357,2019,09/24/2019 04:33:44 PM,41.76671836,-87.63469996,"(41.76671836, -87.634699958)",31,"21,559",67,479,32,11,17,210
11832252,JC437882,09/17/2019 11:01:00 PM,106XX S SANGAMON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2232,22,34,73,14,1171874,1834183,2019,09/24/2019 04:33:44 PM,41.70044716,-87.64627879,"(41.700447159, -87.64627879)",45,"22,212",72,595,22,13,9,253
11832967,JC438837,09/17/2019 11:00:00 PM,013XX E 71ST PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,324,3,8,43,14,1186320,1857862,2019,09/24/2019 04:33:44 PM,41.76509645,-87.59263739,"(41.765096453, -87.592637385)",32,"21,546",39,451,35,61,18,217
11832643,JC438328,09/17/2019 11:00:00 PM,096XX S FOREST AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,511,5,9,49,7,1179948,1841151,2019,09/24/2019 04:33:44 PM,41.71938772,-87.61650264,"(41.719387719, -87.616502642)",31,"21,861",45,567,43,19,10,250
11832766,JC438543,09/17/2019 11:00:00 PM,048XX N BROADWAY,890,THEFT,FROM BUILDING,WAREHOUSE,FALSE,FALSE,2033,20,46,3,6,1167432,1932624,2019,09/24/2019 04:33:44 PM,41.97067499,-87.659717,"(41.970674992, -87.659717003)",40,"22,616",31,633,39,15,2,36
11832297,JC438010,09/17/2019 11:00:00 PM,056XX S RACINE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,713,7,16,67,08B,1169284,1867343,2019,09/24/2019 04:33:44 PM,41.79149907,-87.65480494,"(41.791499068, -87.654804935)",19,"22,257",66,409,2,11,17,261
11832383,JC438136,09/17/2019 11:00:00 PM,078XX S PHILLIPS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,421,4,7,43,7,1193888,1853499,2019,09/24/2019 04:33:44 PM,41.75294187,-87.56504175,"(41.752941866, -87.565041749)",43,"22,538",39,246,37,24,19,225
11832594,JC438370,09/17/2019 11:00:00 PM,060XX N MILWAUKEE AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1611,16,39,10,6,1134340,1939571,2019,09/24/2019 04:33:44 PM,41.99038768,-87.78123572,"(41.990387684, -87.781235715)",20,"22,532",36,656,38,18,12,34
11832189,JC437916,09/17/2019 11:00:00 PM,031XX N NARRAGANSETT AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,2511,25,36,19,26,1133191,1920349,2019,09/24/2019 04:33:44 PM,41.93766084,-87.78591377,"(41.937660843, -87.785913772)",39,"22,254",19,137,44,52,6,179
