Community Area,Community Area Name,Assault (Homicide),Firearm-related,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment
1,Rogers Park,7.7,5.2,22.7,7.9,28.8,18.1,"23,714",7.5
2,West Ridge,5.8,3.7,15.1,7,38.3,19.6,"21,375",7.9
3,Uptown,5.4,4.6,22.7,4.6,22.2,13.6,"32,355",7.7
4,Lincoln Square,5,6.1,9.5,3.1,25.6,12.5,"35,503",6.8
5,North Center,1,1,7.1,0.2,25.5,5.4,"51,615",4.5
6,Lake View,1.4,1.8,10.5,1.2,16.5,2.9,"58,227",4.7
7,Lincoln Park,0.7,2.3,11.8,0.6,20.4,4.3,"71,403",4.5
8,Near North Side,3.7,3.2,13.4,2,23.3,3.4,"87,163",5.2
9,Edison Park,0,7.1,5.1,0.6,36.6,8.5,"38,337",7.4
10,Norwood Park,4.7,8.7,5.9,2.3,40.6,13.5,"31,659",7.3
11,Jefferson Park,4.8,4.2,6.4,1.9,34.4,13.5,"27,280",9
12,Forest Glen,3.3,6.2,6.1,1.3,40.6,6.3,"41,509",5.5
13,North Park,3,3.1,12.4,3.8,39.7,18.2,"24,941",7.5
14,Albany Park,4.7,5.3,17.1,11.2,32.1,34.9,"20,355",9
15,Portage Park,3.3,4.7,12.3,4.4,34.6,18.7,"23,617",10.6
16,Irving Park,4.1,5.7,10.8,5.6,31.6,22,"26,713",10.3
17,Dunning,3.7,5.2,8.3,4.8,34.9,18,"26,347",8.6
18,Montclaire,8.6,6.5,12.8,5.8,35,28.4,"21,257",10.8
19,Belmont Cragin,7,5.5,18.6,10,36.9,37,"15,246",11.5
20,Hermosa,12.7,11.8,19.1,8.4,36.3,41.9,"15,411",12.9
21,Avondale,4.7,4.6,14.6,5.8,30.4,25.7,"20,489",9.3
22,Logan Square,8.6,10.2,17.2,3.2,26.7,18.5,"29,026",7.5
23,Humboldt Park,29,22.7,32.6,11.2,38.3,36.8,"13,391",12.3
24,West Town,8.5,6.6,15.7,2,22.9,13.4,"39,596",6
25,Austin,34.4,28.5,27,5.7,39,25,"15,920",21
26,West Garfield Park,40,36,40.3,8.9,42.5,26.2,"10,951",25.2
27,East Garfield Park,38.4,37.1,39.7,7.5,43.2,26.2,"13,596",16.4
28,Near West Side,12.7,9.3,21.6,3.8,22.9,11.2,"41,488",10.7
29,North Lawndale,46.7,37.6,38.6,7.2,40.9,30.4,"12,548",18.5
30,South Lawndale,11.1,8.6,28.1,17.6,33.1,58.7,"10,697",11.5
31,Lower West Side,11.7,11.7,27.2,10.4,35.2,44.3,"15,467",13
32,Loop,0.7,4,11.1,2,15.5,3.4,"67,699",4.2
