Primary,Census,Count
ASSAULT,1.0,80.0
ASSAULT,2.0,15.0
ASSAULT,3.0,23.0
ASSAULT,4.0,19.0
ASSAULT,5.0,12.0
ASSAULT,6.0,13.0
ASSAULT,7.0,54.0
ASSAULT,8.0,5.0
ASSAULT,9.0,40.0
ASSAULT,10.0,57.0
ASSAULT,11.0,60.0
ASSAULT,12.0,21.0
ASSAULT,13.0,19.0
ASSAULT,14.0,9.0
ASSAULT,15.0,10.0
ASSAULT,16.0,20.0
ASSAULT,17.0,11.0
ASSAULT,18.0,2.0
ASSAULT,19.0,17.0
ASSAULT,20.0,11.0
ASSAULT,21.0,51.0
ASSAULT,22.0,39.0
ASSAULT,23.0,5.0
ASSAULT,24.0,21.0
ASSAULT,25.0,6.0
ASSAULT,26.0,6.0
ASSAULT,27.0,28.0
ASSAULT,28.0,20.0
ASSAULT,29.0,15.0
ASSAULT,30.0,16.0
ASSAULT,31.0,16.0
ASSAULT,32.0,3.0
ASSAULT,33.0,97.0
ASSAULT,34.0,59.0
ASSAULT,35.0,33.0
ASSAULT,36.0,43.0
ASSAULT,37.0,45.0
ASSAULT,38.0,38.0
ASSAULT,39.0,20.0
ASSAULT,40.0,18.0
ASSAULT,41.0,12.0
ASSAULT,42.0,12.0
ASSAULT,43.0,6.0
ASSAULT,44.0,6.0
ASSAULT,45.0,5.0
ASSAULT,46.0,5.0
ASSAULT,47.0,7.0
ASSAULT,48.0,5.0
ASSAULT,49.0,9.0
ASSAULT,50.0,25.0
ASSAULT,51.0,37.0
ASSAULT,52.0,34.0
ASSAULT,53.0,18.0
ASSAULT,54.0,7.0
ASSAULT,55.0,18.0
ASSAULT,56.0,12.0
ASSAULT,57.0,30.0
ASSAULT,58.0,17.0
ASSAULT,59.0,16.0
ASSAULT,60.0,53.0
ASSAULT,61.0,66.0
ASSAULT,62.0,23.0
ASSAULT,63.0,20.0
ASSAULT,64.0,1.0
ASSAULT,65.0,10.0
ASSAULT,66.0,4.0
ASSAULT,67.0,17.0
ASSAULT,68.0,73.0
ASSAULT,69.0,113.0
ASSAULT,70.0,10.0
ASSAULT,71.0,9.0
ASSAULT,72.0,13.0
ASSAULT,73.0,16.0
ASSAULT,74.0,16.0
ASSAULT,75.0,10.0
ASSAULT,76.0,15.0
ASSAULT,77.0,24.0
ASSAULT,78.0,16.0
ASSAULT,79.0,3.0
ASSAULT,80.0,22.0
ASSAULT,81.0,11.0
ASSAULT,82.0,12.0
ASSAULT,83.0,5.0
ASSAULT,84.0,25.0
ASSAULT,85.0,41.0
ASSAULT,86.0,6.0
ASSAULT,87.0,10.0
ASSAULT,88.0,2.0
ASSAULT,89.0,38.0
ASSAULT,90.0,32.0
ASSAULT,91.0,16.0
ASSAULT,92.0,106.0
ASSAULT,93.0,3.0
ASSAULT,94.0,11.0
ASSAULT,95.0,4.0
ASSAULT,96.0,47.0
ASSAULT,97.0,61.0
ASSAULT,98.0,78.0
ASSAULT,99.0,54.0
ASSAULT,100.0,4.0
ASSAULT,101.0,5.0
ASSAULT,103.0,1.0
ASSAULT,104.0,20.0
ASSAULT,105.0,3.0
ASSAULT,106.0,5.0
ASSAULT,107.0,19.0
ASSAULT,108.0,28.0
ASSAULT,109.0,20.0
ASSAULT,110.0,9.0
ASSAULT,111.0,67.0
ASSAULT,112.0,30.0
ASSAULT,113.0,45.0
ASSAULT,114.0,14.0
ASSAULT,115.0,16.0
ASSAULT,116.0,1.0
ASSAULT,117.0,12.0
ASSAULT,118.0,9.0
ASSAULT,119.0,20.0
ASSAULT,120.0,7.0
ASSAULT,121.0,33.0
ASSAULT,122.0,45.0
ASSAULT,123.0,32.0
ASSAULT,124.0,17.0
ASSAULT,125.0,26.0
ASSAULT,126.0,34.0
ASSAULT,127.0,11.0
ASSAULT,128.0,4.0
ASSAULT,129.0,12.0
ASSAULT,130.0,1.0
ASSAULT,131.0,5.0
ASSAULT,132.0,28.0
ASSAULT,133.0,60.0
ASSAULT,134.0,36.0
ASSAULT,135.0,27.0
ASSAULT,136.0,29.0
ASSAULT,137.0,19.0
ASSAULT,138.0,32.0
ASSAULT,139.0,10.0
ASSAULT,140.0,29.0
ASSAULT,141.0,62.0
ASSAULT,142.0,14.0
ASSAULT,144.0,7.0
ASSAULT,145.0,7.0
ASSAULT,146.0,14.0
ASSAULT,147.0,3.0
ASSAULT,148.0,10.0
ASSAULT,149.0,8.0
ASSAULT,150.0,36.0
ASSAULT,151.0,23.0
ASSAULT,152.0,49.0
ASSAULT,153.0,3.0
ASSAULT,154.0,6.0
ASSAULT,155.0,7.0
ASSAULT,156.0,9.0
ASSAULT,157.0,19.0
ASSAULT,158.0,13.0
ASSAULT,159.0,18.0
ASSAULT,160.0,7.0
ASSAULT,161.0,20.0
ASSAULT,162.0,15.0
ASSAULT,163.0,31.0
ASSAULT,164.0,20.0
ASSAULT,165.0,19.0
ASSAULT,166.0,54.0
ASSAULT,167.0,15.0
ASSAULT,168.0,7.0
ASSAULT,169.0,3.0
ASSAULT,171.0,22.0
ASSAULT,172.0,5.0
ASSAULT,173.0,6.0
ASSAULT,174.0,33.0
ASSAULT,175.0,37.0
ASSAULT,176.0,37.0
ASSAULT,177.0,56.0
ASSAULT,178.0,2.0
