ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
24752,JC435136,09/16/2019 04:38:00 AM,040XX N NARRAGANSETT AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1632,16.0,38.0,17.0,01A,1132977.0,1925990.0,2019,09/23/2019 04:16:49 PM,41.95314411,-87.78656803,"(41.953144111, -87.786568029)",25.0,"22,254",15.0,131.0,19.0,52.0,12.0,15.0
24751,JC435063,09/16/2019 01:12:00 AM,007XX N ST LOUIS AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1121,11.0,27.0,23.0,01A,1152913.0,1904769.0,2019,09/23/2019 04:16:49 PM,41.8945395,-87.71384475,"(41.894539497, -87.713844747)",41.0,"21,572",24.0,584.0,46.0,30.0,16.0,65.0
24750,JC433195,09/14/2019 03:15:00 PM,110XX S BISHOP ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2234,22.0,34.0,75.0,01A,1168516.0,1831704.0,2019,09/21/2019 04:01:05 PM,41.69371723,-87.65864562,"(41.693717233, -87.658645623)",45.0,"22,212",74.0,315.0,22.0,13.0,9.0,263.0
24749,JC432731,09/14/2019 06:29:00 AM,018XX S KEELER AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1012,10.0,24.0,29.0,01A,1148680.0,1890680.0,2019,09/21/2019 04:01:05 PM,41.85596047,-87.72975532,"(41.85596047, -87.729755324)",36.0,"21,569",30.0,753.0,14.0,57.0,21.0,109.0
24748,JC432658,09/14/2019 02:56:00 AM,083XX S PEORIA ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,613,6.0,21.0,71.0,01A,1171745.0,1849599.0,2019,09/21/2019 04:01:05 PM,41.74275371,-87.64630066,"(41.74275371, -87.646300658)",18.0,"21,554",70.0,530.0,13.0,59.0,20.0,233.0
24746,JC432593,09/14/2019 02:27:00 AM,005XX N LAWLER AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1532,15.0,37.0,25.0,01A,1142599.0,1903205.0,2019,09/21/2019 04:01:05 PM,41.8904458,-87.75176441,"(41.8904458, -87.751764409)",11.0,"22,216",26.0,694.0,45.0,32.0,25.0,81.0
24745,JC432520,09/13/2019 11:50:00 PM,060XX S LA SALLE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,311,3.0,20.0,68.0,01A,1176337.0,1864943.0,2019,09/20/2019 04:01:26 PM,41.78475756,-87.62901519,"(41.784757558, -87.629015193)",53.0,"21,559",66.0,166.0,4.0,11.0,18.0,251.0
24744,JC432391,09/13/2019 09:32:00 PM,036XX S INDIANA AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,212,2.0,3.0,35.0,01A,1178196.0,1880992.0,2019,09/20/2019 04:01:26 PM,41.82875546,-87.62171217,"(41.828755455, -87.621712165)",12.0,"4,301",1.0,222.0,9.0,36.0,24.0,101.0
24743,JC432309,09/13/2019 08:22:00 PM,051XX W BELMONT AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,1634,16.0,31.0,15.0,01A,1141639.0,1920792.0,2019,09/20/2019 04:01:26 PM,41.93872425,-87.75485439,"(41.93872425, -87.754854391)",27.0,"22,618",15.0,114.0,17.0,21.0,12.0,26.0
24747,JC432099,09/13/2019 05:30:00 PM,082XX S EMERALD AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,622,6.0,21.0,71.0,01A,1172741.0,1850139.0,2019,09/20/2019 04:01:26 PM,41.74421366,-87.64263542,"(41.744213662, -87.642635417)",18.0,"21,554",70.0,529.0,13.0,59.0,20.0,236.0
